subject,channel,condition,value
sub-01,FidNz,pre,7.3786
sub-01,FidNz,post,7.441
sub-01,FidT9,pre,6.9611
sub-01,FidT9,post,7.9392
sub-01,FidT10,pre,7.8205
sub-01,FidT10,post,6.5996
sub-01,E1,pre,7.2048
sub-01,E1,post,7.334
sub-01,E2,pre,7.7296
sub-01,E2,post,8.0155
sub-01,E3,pre,7.0024
sub-01,E3,post,7.7574
sub-01,E4,pre,6.5621
sub-01,E4,post,8.2384
sub-01,E5,pre,7.7795
sub-01,E5,post,7.0869
sub-01,E6,pre,6.6022
sub-01,E6,post,7.5551
sub-01,E7,pre,8.3908
sub-01,E7,post,7.8771
sub-01,E8,pre,8.5219
sub-01,E8,post,8.0527
sub-01,E9,pre,7.1884
sub-01,E9,post,8.0534
sub-01,E10,pre,7.9327
sub-01,E10,post,7.9598
sub-01,E11,pre,7.8028
sub-01,E11,post,7.1171
sub-01,E12,pre,8.4151
sub-01,E12,post,7.554
sub-01,E13,pre,7.7903
sub-01,E13,post,8.559
sub-01,E14,pre,7.7697
sub-01,E14,post,7.8088
sub-01,E15,pre,6.8951
sub-01,E15,post,6.6775
sub-01,E16,pre,7.0078
sub-01,E16,post,8.5254
sub-01,E17,pre,7.5207
sub-01,E17,post,6.9422
sub-01,E18,pre,7.82
sub-01,E18,post,7.2668
sub-01,E19,pre,8.3971
sub-01,E19,post,7.4093
sub-01,E20,pre,8.132
sub-01,E20,post,6.031
sub-01,E21,pre,7.056
sub-01,E21,post,7.3984
sub-01,E22,pre,7.055
sub-01,E22,post,7.4511
sub-01,E23,pre,8.264
sub-01,E23,post,7.6075
sub-01,E24,pre,6.8217
sub-01,E24,post,7.6443
sub-01,E25,pre,6.6077
sub-01,E25,post,8.1279
sub-01,E26,pre,7.3564
sub-01,E26,post,6.6628
sub-01,E27,pre,6.9522
sub-01,E27,post,7.4321
sub-01,E28,pre,6.7894
sub-01,E28,post,7.1593
sub-01,E29,pre,8.2809
sub-01,E29,post,7.911
sub-01,E30,pre,7.6528
sub-01,E30,post,7.5199
sub-01,E31,pre,7.7812
sub-01,E31,post,7.1278
sub-01,E32,pre,6.8845
sub-01,E32,post,6.8186
sub-01,E33,pre,6.8011
sub-01,E33,post,7.5724
sub-01,E34,pre,8.2563
sub-01,E34,post,7.7757
sub-01,E35,pre,6.6772
sub-01,E35,post,7.7502
sub-01,E36,pre,7.0845
sub-01,E36,post,7.1074
sub-01,E37,pre,6.8767
sub-01,E37,post,8.3388
sub-01,E38,pre,7.3377
sub-01,E38,post,6.3966
sub-01,E39,pre,6.5657
sub-01,E39,post,7.5897
sub-01,E40,pre,7.6118
sub-01,E40,post,6.4218
sub-01,E41,pre,7.624
sub-01,E41,post,7.9288
sub-01,E42,pre,7.6293
sub-01,E42,post,7.2723
sub-01,E43,pre,7.8709
sub-01,E43,post,7.4093
sub-01,E44,pre,6.8958
sub-01,E44,post,7.7012
sub-01,E45,pre,8.0083
sub-01,E45,post,7.5578
sub-01,E46,pre,6.8124
sub-01,E46,post,8.0146
sub-01,E47,pre,7.5659
sub-01,E47,post,8.1424
sub-01,E48,pre,7.5678
sub-01,E48,post,7.372
sub-01,E49,pre,6.6139
sub-01,E49,post,6.9612
sub-01,E50,pre,7.2065
sub-01,E50,post,6.7426
sub-01,E51,pre,6.7075
sub-01,E51,post,7.7126
sub-01,E52,pre,8.12
sub-01,E52,post,7.844
sub-01,E53,pre,8.1425
sub-01,E53,post,8.1318
sub-01,E54,pre,7.2269
sub-01,E54,post,8.0889
sub-01,E55,pre,8.024
sub-01,E55,post,7.4309
sub-01,E56,pre,7.5713
sub-01,E56,post,7.7774
sub-01,E57,pre,7.053
sub-01,E57,post,6.7379
sub-01,E58,pre,6.4739
sub-01,E58,post,8.3723
sub-01,E59,pre,6.8659
sub-01,E59,post,6.8309
sub-01,E60,pre,7.656
sub-01,E60,post,8.0286
sub-01,E61,pre,7.7616
sub-01,E61,post,8.2605
sub-01,E62,pre,8.016
sub-01,E62,post,8.3809
sub-01,E63,pre,7.4979
sub-01,E63,post,7.2883
sub-01,E64,pre,7.6654
sub-01,E64,post,8.0041
sub-01,E65,pre,7.4206
sub-01,E65,post,6.1768
sub-01,E66,pre,6.9101
sub-01,E66,post,7.3939
sub-01,E67,pre,6.8751
sub-01,E67,post,7.7651
sub-01,E68,pre,7.9557
sub-01,E68,post,7.4291
sub-01,E69,pre,7.5485
sub-01,E69,post,8.1736
sub-01,E70,pre,6.6103
sub-01,E70,post,8.0843
sub-01,E71,pre,7.9674
sub-01,E71,post,8.0547
sub-01,E72,pre,7.7836
sub-01,E72,post,7.3241
sub-01,E73,pre,7.6198
sub-01,E73,post,7.6963
sub-01,E74,pre,8.2284
sub-01,E74,post,7.2942
sub-01,E75,pre,8.3338
sub-01,E75,post,7.8934
sub-01,E76,pre,6.7611
sub-01,E76,post,8.0829
sub-01,E77,pre,7.3221
sub-01,E77,post,8.0058
sub-01,E78,pre,8.0107
sub-01,E78,post,7.6808
sub-01,E79,pre,7.7508
sub-01,E79,post,6.9797
sub-01,E80,pre,7.469
sub-01,E80,post,6.9877
sub-01,E81,pre,7.171
sub-01,E81,post,8.3011
sub-01,E82,pre,8.5247
sub-01,E82,post,6.767
sub-01,E83,pre,6.8132
sub-01,E83,post,8.5079
sub-01,E84,pre,7.3213
sub-01,E84,post,8.2264
sub-01,E85,pre,7.1928
sub-01,E85,post,8.3924
sub-01,E86,pre,7.2198
sub-01,E86,post,8.23
sub-01,E87,pre,8.6482
sub-01,E87,post,6.6714
sub-01,E88,pre,6.6176
sub-01,E88,post,7.6357
sub-01,E89,pre,6.6134
sub-01,E89,post,6.8113
sub-01,E90,pre,7.2769
sub-01,E90,post,7.783
sub-01,E91,pre,7.72
sub-01,E91,post,7.9198
sub-01,E92,pre,7.217
sub-01,E92,post,8.4789
sub-01,E93,pre,7.5739
sub-01,E93,post,7.8443
sub-01,E94,pre,6.6552
sub-01,E94,post,6.9706
sub-01,E95,pre,6.7013
sub-01,E95,post,6.6787
sub-01,E96,pre,6.5371
sub-01,E96,post,7.6007
sub-01,E97,pre,7.8443
sub-01,E97,post,8.3504
sub-01,E98,pre,8.6107
sub-01,E98,post,7.8701
sub-01,E99,pre,7.3629
sub-01,E99,post,8.0281
sub-01,E100,pre,6.8989
sub-01,E100,post,7.3901
sub-01,E101,pre,8.6265
sub-01,E101,post,7.1698
sub-01,E102,pre,6.8482
