subject,channel,condition,value
sub-01,FidNz,pre,10.7301
sub-01,FidNz,post,10.4313
sub-01,FidT9,pre,9.1991
sub-01,FidT9,post,7.2385
sub-01,FidT10,pre,6.5769
sub-01,FidT10,post,7.4384
sub-01,E1,pre,7.8017
sub-01,E1,post,12.3558
sub-01,E2,pre,10.7848
sub-01,E2,post,10.9343
sub-01,E3,pre,7.3848
sub-01,E3,post,9.5132
sub-01,E4,pre,10.7216
sub-01,E4,post,12.654
sub-01,E5,pre,10.718
sub-01,E5,post,12.4291
sub-01,E6,pre,7.1076
sub-01,E6,post,9.8536
sub-01,E7,pre,7.5448
sub-01,E7,post,10.6515
sub-01,E8,pre,7.7226
sub-01,E8,post,10.3622
sub-01,E9,pre,7.6064
sub-01,E9,post,12.6455
sub-01,E10,pre,10.5838
sub-01,E10,post,12.8984
sub-01,E11,pre,8.1408
sub-01,E11,post,8.813
sub-01,E12,pre,11.7998
sub-01,E12,post,14.0
sub-01,E13,pre,11.3212
sub-01,E13,post,11.0908
sub-01,E14,pre,7.8156
sub-01,E14,post,12.156
sub-01,E15,pre,12.0326
sub-01,E15,post,11.5982
sub-01,E16,pre,10.6767
sub-01,E16,post,14.0
sub-01,E17,pre,11.4293
sub-01,E17,post,11.7962
sub-01,E18,pre,10.7345
sub-01,E18,post,13.2132
sub-01,E19,pre,7.2162
sub-01,E19,post,10.9995
sub-01,E20,pre,8.3496
sub-01,E20,post,11.613
sub-01,E21,pre,8.5474
sub-01,E21,post,12.9241
sub-01,E22,pre,9.7096
sub-01,E22,post,13.6654
sub-01,E23,pre,6.5436
sub-01,E23,post,14.0
sub-01,E24,pre,7.1923
sub-01,E24,post,14.0
sub-01,E25,pre,6.6506
sub-01,E25,post,12.9031
sub-01,E26,pre,9.1155
sub-01,E26,post,9.9012
sub-01,E27,pre,9.757
sub-01,E27,post,13.0677
sub-01,E28,pre,10.6743
sub-01,E28,post,12.0361
sub-01,E29,pre,8.7551
sub-01,E29,post,12.2377
sub-01,E30,pre,10.5934
sub-01,E30,post,11.0762
sub-01,E31,pre,8.306
sub-01,E31,post,12.7771
sub-01,E32,pre,10.3768
sub-01,E32,post,12.6375
sub-01,E33,pre,7.5234
sub-01,E33,post,11.4223
sub-01,E34,pre,10.2853
sub-01,E34,post,14.0
sub-01,E35,pre,11.0601
sub-01,E35,post,9.746
sub-01,E36,pre,8.0247
sub-01,E36,post,10.1849
sub-01,E37,pre,9.9651
sub-01,E37,post,9.7058
sub-01,E38,pre,11.775
sub-01,E38,post,13.8534
sub-01,E39,pre,9.0537
sub-01,E39,post,9.0882
sub-01,E40,pre,10.8825
sub-01,E40,post,11.4753
sub-01,E41,pre,9.8344
sub-01,E41,post,10.6476
sub-01,E42,pre,11.6429
sub-01,E42,post,9.6953
sub-01,E43,pre,7.2486
sub-01,E43,post,9.8837
sub-01,E44,pre,7.9658
sub-01,E44,post,11.9825
sub-01,E45,pre,10.2067
sub-01,E45,post,10.6076
sub-01,E46,pre,11.7908
sub-01,E46,post,8.5704
sub-01,E47,pre,8.8393
sub-01,E47,post,9.6616
sub-01,E48,pre,8.3017
sub-01,E48,post,10.8613
sub-01,E49,pre,9.9227
sub-01,E49,post,8.0642
sub-01,E50,pre,7.3351
sub-01,E50,post,9.2638
sub-01,E51,pre,7.35
sub-01,E51,post,8.0495
sub-01,E52,pre,11.8178
sub-01,E52,post,11.8098
sub-01,E53,pre,11.3676
sub-01,E53,post,10.7166
sub-01,E54,pre,10.5334
sub-01,E54,post,7.3026
sub-01,E55,pre,10.2258
sub-01,E55,post,11.6035
sub-01,E56,pre,7.9521
sub-01,E56,post,10.183
sub-01,E57,pre,10.1724
sub-01,E57,post,7.6024
sub-01,E58,pre,9.3846
sub-01,E58,post,11.4686
sub-01,E59,pre,9.23
sub-01,E59,post,8.4955
sub-01,E60,pre,10.2859
sub-01,E60,post,8.4101
sub-01,E61,pre,8.8854
sub-01,E61,post,6.7953
sub-01,E62,pre,11.9931
sub-01,E62,post,10.2014
sub-01,E63,pre,7.5508
sub-01,E63,post,7.4476
sub-01,E64,pre,11.3182
sub-01,E64,post,11.6411
sub-01,E65,pre,8.2491
sub-01,E65,post,7.5154
sub-01,E66,pre,9.1567
sub-01,E66,post,10.2282
sub-01,E67,pre,11.8144
sub-01,E67,post,12.3724
sub-01,E68,pre,7.2338
sub-01,E68,post,10.7927
sub-01,E69,pre,11.3822
sub-01,E69,post,11.6913
sub-01,E70,pre,10.8834
sub-01,E70,post,7.487
sub-01,E71,pre,8.1781
sub-01,E71,post,11.1489
sub-01,E72,pre,10.8167
sub-01,E72,post,7.978
sub-01,E73,pre,8.8955
sub-01,E73,post,11.5759
sub-01,E74,pre,10.1603
sub-01,E74,post,8.9513
sub-01,E75,pre,11.6062
sub-01,E75,post,7.4867
sub-01,E76,pre,11.8116
sub-01,E76,post,8.3263
sub-01,E77,pre,10.03
sub-01,E77,post,7.9557
sub-01,E78,pre,8.5936
sub-01,E78,post,9.5506
sub-01,E79,pre,6.8484
sub-01,E79,post,11.4679
sub-01,E80,pre,10.6131
sub-01,E80,post,10.2564
sub-01,E81,pre,10.674
sub-01,E81,post,9.0039
sub-01,E82,pre,10.8296
sub-01,E82,post,8.7324
sub-01,E83,pre,8.5935
sub-01,E83,post,8.0598
sub-01,E84,pre,11.1342
sub-01,E84,post,9.819
sub-01,E85,pre,8.3703
sub-01,E85,post,9.6052
sub-01,E86,pre,8.8439
sub-01,E86,post,9.5944
sub-01,E87,pre,8.9084
sub-01,E87,post,7.7661
sub-01,E88,pre,11.2457
sub-01,E88,post,8.114
sub-01,E89,pre,9.4684
sub-01,E89,post,7.9797
sub-01,E90,pre,10.3324
sub-01,E90,post,8.0916
sub-01,E91,pre,8.7239
sub-01,E91,post,9.8753
sub-01,E92,pre,9.1928
sub-01,E92,post,10.2694
sub-01,E93,pre,9.2594
sub-01,E93,post,8.0074
sub-01,E94,pre,10.9971
sub-01,E94,post,11.0925
sub-01,E95,pre,7.2806
sub-01,E95,post,11.191
sub-01,E96,pre,8.5401
sub-01,E96,post,11.5358
sub-01,E97,pre,10.4242
sub-01,E97,post,12.0258
sub-01,E98,pre,11.7147
sub-01,E98,post,10.3208
sub-01,E99,pre,10.8764
sub-01,E99,post,9.463
sub-01,E100,pre,9.3348
sub-01,E100,post,8.2574
sub-01,E101,pre,10.4708
sub-01,E101,post,9.2482
sub-01,E102,pre,7.3098
sub-01,E102,post,8.351
sub-01,E103,pre,9.4624
sub-01,E103,post,7.4535
sub-01,E104,pre,10.322
sub-01,E104,post,7.1111
sub-01,E105,pre,8.6583
sub-01,E105,post,7.6136
sub-01,E106,pre,10.214
sub-01,E106,post,10.7712
sub-01,E107,pre,8.8853
sub-01,E107,post,7.0128
sub-01,E108,pre,11.2437
sub-01,E108,post,11.7436
sub-01,E109,pre,9.6915
sub-01,E109,post,9.9771
sub-01,E110,pre,9.2458
sub-01,E110,post,7.2118
sub-01,E111,pre,8.7978
sub-01,E111,post,7.6015
sub-01,E112,pre,10.3356
sub-01,E112,post,7.3591
sub-01,E113,pre,6.7262
sub-01,E113,post,9.8044
sub-01,E114,pre,6.6361
sub-01,E114,post,8.2802
sub-01,E115,pre,10.5277
sub-01,E115,post,8.6172
sub-01,E116,pre,8.3399
sub-01,E116,post,7.4881
sub-01,E117,pre,11.1498
sub-01,E117,post,7.9
sub-01,E118,pre,10.2801
sub-01,E118,post,10.7925
sub-01,E119,pre,7.0991
sub-01,E119,post,7.7591
sub-01,E120,pre,9.491
sub-01,E120,post,7.761
sub-01,E121,pre,7.8329
sub-01,E121,post,10.0301
sub-01,E122,pre,11.2355
sub-01,E122,post,11.9626
sub-01,E123,pre,9.1514
sub-01,E123,post,10.9784
sub-01,E124,pre,10.4723
sub-01,E124,post,7.2772
sub-01,E125,pre,7.2966
sub-01,E125,post,10.6495
sub-01,E126,pre,7.4343
sub-01,E126,post,11.7483
sub-01,E127,pre,8.9885
sub-01,E127,post,8.6994
sub-01,E128,pre,11.025
sub-01,E128,post,10.8888
sub-01,E129,pre,10.762
sub-01,E129,post,11.7276
sub-01,E130,pre,10.4066
sub-01,E130,post,11.565
sub-01,E131,pre,9.8315
sub-01,E131,post,9.5581
sub-01,E132,pre,8.263
sub-01,E132,post,11.1796
sub-01,E133,pre,11.5315
sub-01,E133,post,8.3426
sub-01,E134,pre,8.5763
sub-01,E134,post,6.8248
sub-01,E135,pre,8.0984
sub-01,E135,post,11.027
sub-01,E136,pre,10.7946
sub-01,E136,post,8.6701
sub-01,E137,pre,8.2561
sub-01,E137,post,11.4284
sub-01,E138,pre,10.4385
sub-01,E138,post,10.215
sub-01,E139,pre,7.5277
sub-01,E139,post,8.1704
sub-01,E140,pre,9.7857
sub-01,E140,post,9.2443
sub-01,E141,pre,10.3954
sub-01,E141,post,8.3197
sub-01,E142,pre,8.191
sub-01,E142,post,7.5373
sub-01,E143,pre,10.0443
sub-01,E143,post,11.176
sub-01,E144,pre,9.5035
sub-01,E144,post,10.7055
sub-01,E145,pre,8.3175
sub-01,E145,post,7.4052
sub-01,E146,pre,7.9408
sub-01,E146,post,7.1144
sub-01,E147,pre,11.7874
sub-01,E147,post,9.6827
sub-01,E148,pre,11.488
sub-01,E148,post,9.6001
sub-01,E149,pre,9.1741
sub-01,E149,post,9.0295
sub-01,E150,pre,12.1955
sub-01,E150,post,9.8789
sub-01,E151,pre,7.185
sub-01,E151,post,9.9619
sub-01,E152,pre,10.2108
sub-01,E152,post,8.9157
sub-01,E153,pre,10.8136
sub-01,E153,post,10.023
sub-01,E154,pre,9.6112
sub-01,E154,post,9.2509
sub-01,E155,pre,12.1616
sub-01,E155,post,8.7384
sub-01,E156,pre,10.4414
sub-01,E156,post,11.4789
sub-01,E157,pre,10.3981
sub-01,E157,post,7.8812
sub-01,E158,pre,7.4803
sub-01,E158,post,9.7195
sub-01,E159,pre,8.0459
sub-01,E159,post,10.4233
sub-01,E160,pre,10.1625
sub-01,E160,post,11.3452
sub-01,E161,pre,10.1265
sub-01,E161,post,11.4889
sub-01,E162,pre,9.8281
sub-01,E162,post,11.132
sub-01,E163,pre,7.9634
sub-01,E163,post,8.6719
sub-01,E164,pre,8.2032
sub-01,E164,post,7.3819
sub-01,E165,pre,11.5999
sub-01,E165,post,9.3889
sub-01,E166,pre,7.4782
sub-01,E166,post,9.439
sub-01,E167,pre,7.4226
sub-01,E167,post,11.7755
sub-01,E168,pre,11.561
sub-01,E168,post,11.805
sub-01,E169,pre,7.1355
sub-01,E169,post,10.7157
sub-01,E170,pre,11.3337
sub-01,E170,post,7.6608
sub-01,E171,pre,9.22
sub-01,E171,post,7.2176
sub-01,E172,pre,10.0998
sub-01,E172,post,11.0378
sub-01,E173,pre,8.2533
sub-01,E173,post,11.5381
sub-01,E174,pre,9.0579
sub-01,E174,post,8.3564
sub-01,E175,pre,9.4309
sub-01,E175,post,9.983
sub-01,E176,pre,9.6546
sub-01,E176,post,9.0078
sub-01,E177,pre,10.3947
sub-01,E177,post,9.7395
sub-01,E178,pre,9.7771
sub-01,E178,post,11.6693
sub-01,E179,pre,7.451
sub-01,E179,post,11.7096
sub-01,E180,pre,7.779
sub-01,E180,post,9.7413
sub-01,E181,pre,12.2008
sub-01,E181,post,11.8041
sub-01,E182,pre,11.4038
sub-01,E182,post,9.7349
sub-01,E183,pre,8.0896
sub-01,E183,post,10.8961
sub-01,E184,pre,9.7257
sub-01,E184,post,8.8873
sub-01,E185,pre,11.2428
sub-01,E185,post,11.1663
sub-01,E186,pre,9.1614
sub-01,E186,post,11.758
sub-01,E187,pre,8.531
sub-01,E187,post,8.6096
sub-01,E188,pre,9.7249
sub-01,E188,post,8.0197
sub-01,E189,pre,9.5388
sub-01,E189,post,9.4964
sub-01,E190,pre,7.7463
sub-01,E190,post,10.2905
sub-01,E191,pre,10.8775
sub-01,E191,post,7.218
sub-01,E192,pre,10.9601
sub-01,E192,post,8.8335
sub-01,E193,pre,11.9879
sub-01,E193,post,9.5605
sub-01,E194,pre,9.1477
sub-01,E194,post,10.5453
sub-01,E195,pre,9.452
sub-01,E195,post,9.1069
sub-01,E196,pre,10.0367
sub-01,E196,post,7.5346
sub-01,E197,pre,9.0219
sub-01,E197,post,10.7926
sub-01,E198,pre,11.3949
sub-01,E198,post,11.43
sub-01,E199,pre,10.3909
sub-01,E199,post,10.5943
sub-01,E200,pre,7.4619
sub-01,E200,post,10.2756
sub-01,E201,pre,10.8226
sub-01,E201,post,9.2586
sub-01,E202,pre,10.8989
sub-01,E202,post,8.7544
sub-01,E203,pre,7.4076
sub-01,E203,post,11.1584
sub-01,E204,pre,7.363
sub-01,E204,post,9.291
sub-01,E205,pre,7.9015
sub-01,E205,post,7.4464
sub-01,E206,pre,8.056
sub-01,E206,post,11.416
sub-01,E207,pre,7.6629
sub-01,E207,post,7.6696
sub-01,E208,pre,11.7816
sub-01,E208,post,10.6636
sub-01,E209,pre,8.1567
sub-01,E209,post,9.3668
sub-01,E210,pre,7.9651
sub-01,E210,post,10.9411
sub-01,E211,pre,8.9795
sub-01,E211,post,7.7495
sub-01,E212,pre,11.6477
sub-01,E212,post,8.1604
sub-01,E213,pre,8.3049
sub-01,E213,post,9.7621
sub-01,E214,pre,7.2035
sub-01,E214,post,9.9903
sub-01,E215,pre,8.6905
sub-01,E215,post,11.2538
sub-01,E216,pre,9.9704
sub-01,E216,post,9.8918
sub-01,E217,pre,10.2149
sub-01,E217,post,11.1106
sub-01,E218,pre,10.4363
sub-01,E218,post,8.7493
sub-01,E219,pre,10.2918
sub-01,E219,post,7.0807
sub-01,E220,pre,7.8378
sub-01,E220,post,7.6204
sub-01,E221,pre,9.9493
sub-01,E221,post,11.8625
sub-01,E222,pre,11.0825
sub-01,E222,post,9.3683
sub-01,E223,pre,8.6564
sub-01,E223,post,7.5386
sub-01,E224,pre,11.8518
sub-01,E224,post,11.32
sub-01,E225,pre,12.0425
sub-01,E225,post,11.2291
sub-01,E226,pre,7.1442
sub-01,E226,post,9.7575
sub-01,E227,pre,10.1532
sub-01,E227,post,9.7143
sub-01,E228,pre,7.6833
sub-01,E228,post,8.3107
sub-01,E229,pre,10.3826
sub-01,E229,post,12.1519
sub-01,E230,pre,11.5667
sub-01,E230,post,11.9944
sub-01,E231,pre,7.2767
sub-01,E231,post,11.3092
sub-01,E232,pre,6.9908
sub-01,E232,post,10.9411
sub-01,E233,pre,9.7451
sub-01,E233,post,10.1083
sub-01,E234,pre,10.591
sub-01,E234,post,7.6523
sub-01,E235,pre,9.7371
sub-01,E235,post,9.331
sub-01,E236,pre,8.9123
sub-01,E236,post,9.2765
sub-01,E237,pre,7.5226
sub-01,E237,post,10.4542
sub-01,E238,pre,9.088
sub-01,E238,post,9.2853
sub-01,E239,pre,11.6008
sub-01,E239,post,9.6342
sub-01,E240,pre,9.7816
sub-01,E240,post,6.9026
sub-01,E241,pre,7.605
sub-01,E241,post,9.7983
sub-01,E242,pre,8.0689
sub-01,E242,post,8.1128
sub-01,E243,pre,7.6297
sub-01,E243,post,11.3946
sub-01,E244,pre,8.3375
sub-01,E244,post,8.264
sub-01,E245,pre,10.5003
sub-01,E245,post,7.3239
sub-01,E246,pre,8.3731
sub-01,E246,post,8.8023
sub-01,E247,pre,11.2063
sub-01,E247,post,10.1281
sub-01,E248,pre,10.6298
sub-01,E248,post,9.3059
sub-01,E249,pre,11.0627
sub-01,E249,post,6.5525
sub-01,E250,pre,9.7149
sub-01,E250,post,9.3979
sub-01,E251,pre,9.4373
sub-01,E251,post,9.0505
sub-01,E252,pre,11.2556
sub-01,E252,post,7.0746
sub-01,E253,pre,6.7724
sub-01,E253,post,7.819
sub-01,E254,pre,8.3192
sub-01,E254,post,11.6664
sub-01,E255,pre,9.6706
sub-01,E255,post,7.1393
sub-01,E256,pre,10.3736
sub-01,E256,post,10.9638
sub-02,FidNz,pre,8.3338
sub-02,FidNz,post,8.9067
sub-02,FidT9,pre,9.0505
sub-02,FidT9,post,10.2422
sub-02,FidT10,pre,11.4447
sub-02,FidT10,post,7.1654
sub-02,E1,pre,7.2227
sub-02,E1,post,13.3677
sub-02,E2,pre,9.118
sub-02,E2,post,9.6473
sub-02,E3,pre,10.1202
sub-02,E3,post,13.6233
sub-02,E4,pre,8.285
sub-02,E4,post,11.5
sub-02,E5,pre,7.1736
sub-02,E5,post,13.4304
sub-02,E6,pre,10.4269
sub-02,E6,post,13.7746
sub-02,E7,pre,9.6581
sub-02,E7,post,8.502
sub-02,E8,pre,7.4702
sub-02,E8,post,12.4094
sub-02,E9,pre,11.378
sub-02,E9,post,12.2275
sub-02,E10,pre,6.3443
sub-02,E10,post,12.1194
sub-02,E11,pre,8.2248
sub-02,E11,post,12.7545
sub-02,E12,pre,7.1261
sub-02,E12,post,9.6528
sub-02,E13,pre,9.861
sub-02,E13,post,11.1725
sub-02,E14,pre,7.1723
sub-02,E14,post,10.7512
sub-02,E15,pre,9.6606
sub-02,E15,post,8.1213
sub-02,E16,pre,8.3985
sub-02,E16,post,9.6462
sub-02,E17,pre,6.3932
sub-02,E17,post,12.2849
sub-02,E18,pre,8.9698
sub-02,E18,post,13.6197
sub-02,E19,pre,7.2441
sub-02,E19,post,9.208
sub-02,E20,pre,9.3099
sub-02,E20,post,12.4058
sub-02,E21,pre,8.8304
sub-02,E21,post,14.0
sub-02,E22,pre,7.1881
sub-02,E22,post,13.4308
sub-02,E23,pre,8.2618
sub-02,E23,post,9.6672
sub-02,E24,pre,9.3595
sub-02,E24,post,9.2288
sub-02,E25,pre,10.1471
sub-02,E25,post,13.5903
sub-02,E26,pre,7.8832
